Timestamp,Container,TotalMemory(MB),OperationalMemory(MB),CPU(%),Status
17:39:49,streaming-importer,11,-226,0.00%,OK
17:39:54,streaming-importer,11,-226,0.00%,OK
17:40:00,streaming-importer,11,-226,0.00%,OK
17:40:06,streaming-importer,232.7,-4.3,202.31%,OK
17:40:12,streaming-importer,11,-226,0.00%,OK
17:40:18,streaming-importer,11,-226,0.00%,OK
17:40:23,streaming-importer,11,-226,0.00%,OK
17:40:29,streaming-importer,11,-226,0.00%,OK
17:40:34,streaming-importer,11,-226,0.00%,OK
17:40:40,streaming-importer,11,-226,0.00%,OK
17:40:46,streaming-importer,11,-226,0.00%,OK
17:40:51,streaming-importer,11,-226,0.00%,OK
17:40:57,streaming-importer,11,-226,0.00%,OK
17:41:02,streaming-importer,11,-226,0.00%,OK
17:41:08,streaming-importer,11,-226,0.00%,OK
17:41:13,streaming-importer,11,-226,0.00%,OK
17:41:19,streaming-importer,11,-226,0.00%,OK
17:41:25,streaming-importer,11,-226,0.00%,OK
17:41:30,streaming-importer,11,-226,0.00%,OK
17:41:36,streaming-importer,11,-226,0.00%,OK
17:41:41,streaming-importer,11,-226,0.00%,OK
17:41:47,streaming-importer,11,-226,0.00%,OK
17:41:52,streaming-importer,11,-226,0.00%,OK
17:41:58,streaming-importer,11,-226,0.00%,OK
